model,label,lam,seed,params,val_auc,auc,ap,delta_muscle,retrieval_muscle,delta_type,retrieval_type,silhouette_type,per_relation
mf,Free embeddings (matrix factorization),0.0,9,59008,0.8782789208685136,0.8639642039542145,0.8195397012198306,0.3396446406841278,0.44192439862542954,0.5410671830177307,0.9276059564719359,0.23129931092262268,"{""hasForce"": {""auc"": 0.9110034602076125, ""ap"": 0.8918632070383633, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8682775510204082, ""ap"": 0.8191002593884068, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9405944560166639, ""ap"": 0.9401799227185064, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8535502958579881, ""ap"": 0.8292564035102417, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8436287957619905, ""ap"": 0.777031902573814, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7578775510204081, ""ap"": 0.7606799687763622, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9315243342516071, ""ap"": 0.8956793403283818, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8135836734693879, ""ap"": 0.7698337606099444, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,10,59008,0.8813086580501681,0.8666834547346514,0.8273737532749423,0.29254934191703796,0.44719358533791526,0.470755934715271,0.9312714776632303,0.22150732576847076,"{""hasForce"": {""auc"": 0.9251557093425604, ""ap"": 0.8999626452734822, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8342204081632654, ""ap"": 0.7844352622373143, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.953372856913956, ""ap"": 0.9543348500764303, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8624260355029586, ""ap"": 0.8066054035589657, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.839621262287046, ""ap"": 0.8033103534211241, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7255183673469388, ""ap"": 0.7119640258038313, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9606978879706152, ""ap"": 0.9461286399516067, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.776130612244898, ""ap"": 0.7061226031259611, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,11,59008,0.8884279516385982,0.8693712799167534,0.830191314974413,0.2970457673072815,0.44742268041237115,0.4998050034046173,0.9326460481099657,0.21479614078998566,"{""hasForce"": {""auc"": 0.9262629757785468, ""ap"": 0.9007171628406682, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8243918367346939, ""ap"": 0.7766819414527737, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9320621695241147, ""ap"": 0.9267094545666714, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8476331360946745, ""ap"": 0.8067827312858961, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8478169262390243, ""ap"": 0.8093485060688292, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7733877551020409, ""ap"": 0.7923203692429797, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.958613406795225, ""ap"": 0.936928457901914, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.811265306122449, ""ap"": 0.7498281247809986, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,12,59008,0.8856034492910146,0.8642183142559833,0.8338826236867974,0.27255624532699585,0.4231386025200458,0.44963526725769043,0.9305841924398626,0.22364340722560883,"{""hasForce"": {""auc"": 0.897750865051903, ""ap"": 0.8931096839516537, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.7909224489795919, ""ap"": 0.7787213928134047, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9154782887357795, ""ap"": 0.9166598816053683, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8816568047337278, ""ap"": 0.8836876781355932, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8275126632897895, ""ap"": 0.7736604241029321, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7938285714285713, ""ap"": 0.7985797723843442, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9549219467401285, ""ap"": 0.94443308392604, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8074122448979593, ""ap"": 0.7566124123434913, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,13,59008,0.8821178216172841,0.8729810613943809,0.8338752546272105,0.1887943297624588,0.404581901489118,0.3100428879261017,0.922794959908362,0.14986276626586914,"{""hasForce"": {""auc"": 0.9488581314878892, ""ap"": 0.9436060527484303, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8298122448979592, ""ap"": 0.7788215747208551, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9410350905303637, ""ap"": 0.9418857219373793, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.900887573964497, ""ap"": 0.8836103080520259, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8409800397313405, ""ap"": 0.7904523259473081, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7712, ""ap"": 0.7673097066848944, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9524885215794308, ""ap"": 0.933163544748202, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7880489795918368, ""ap"": 0.7158924003828585, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,14,59008,0.8735063698499935,0.8645138397502602,0.8313734614668347,0.19153840839862823,0.3924398625429553,0.31118983030319214,0.9076746849942726,0.15137934684753418,"{""hasForce"": {""auc"": 0.8978892733564013, ""ap"": 0.901866637885699, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8621714285714286, ""ap"": 0.8294294833689864, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9346659189232495, ""ap"": 0.9303375967733785, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.7633136094674556, ""ap"": 0.7675551912089802, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8450477722069814, ""ap"": 0.7827873608008891, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7576163265306123, ""ap"": 0.7773130394605593, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9582920110192837, ""ap"": 0.9501734114471723, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7413877551020408, ""ap"": 0.6813055066093053, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,15,59008,0.8814280979945865,0.859880124869927,0.8265314353716244,0.29239392280578613,0.44238258877434133,0.4841693639755249,0.9376861397479954,0.2324223667383194,"{""hasForce"": {""auc"": 0.9391349480968858, ""ap"": 0.9444826184758409, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8376163265306121, ""ap"": 0.7828022621135503, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9323025156224964, ""ap"": 0.9297771824377848, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.9023668639053255, ""ap"": 0.8953153706688495, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8177174258907303, ""ap"": 0.7718022074295265, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7196734693877551, ""ap"": 0.7319648703637278, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9500826446280991, ""ap"": 0.93865252381919, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8017959183673469, ""ap"": 0.721947893118932, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,16,59008,0.8738327268812212,0.8599173777315297,0.8308668692012853,0.2199353575706482,0.44077892325315005,0.3687029480934143,0.931958762886598,0.16980555653572083,"{""hasForce"": {""auc"": 0.9246712802768166, ""ap"": 0.9348597219469224, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.7902040816326531, ""ap"": 0.7698972375126139, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.948125300432623, ""ap"": 0.9487754613037052, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.9230769230769231, ""ap"": 0.9113834112064733, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8366543115384284, ""ap"": 0.8053984618367115, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7492897959183674, ""ap"": 0.7507280001701772, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9372451790633609, ""ap"": 0.9060281174754194, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7776000000000001, ""ap"": 0.7265054616980166, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,17,59008,0.8697238245679555,0.8573929240374609,0.8198808192648169,0.3214467167854309,0.4449026345933562,0.5394089818000793,0.9418098510882016,0.24718523025512695,"{""hasForce"": {""auc"": 0.9267820069204151, ""ap"": 0.9135339054523083, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8138775510204083, ""ap"": 0.7555534878458072, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9228088447364204, ""ap"": 0.9219825261777195, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8431952662721894, ""ap"": 0.8767167898803794, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8200651869178971, ""ap"": 0.7761880939200403, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.741191836734694, ""ap"": 0.7242285945265121, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9581267217630853, ""ap"": 0.9424540457982268, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7953306122448981, ""ap"": 0.7257598713525957, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,18,59008,0.8738226333647916,0.869146722164412,0.8330296193838411,0.30368778109550476,0.4444444444444444,0.4935508370399475,0.9315005727376862,0.23772981762886047,"{""hasForce"": {""auc"": 0.9074394463667819, ""ap"": 0.9031558953196616, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.855673469387755, ""ap"": 0.7976735857527104, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9537734337445922, ""ap"": 0.9554195315807777, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8550295857988166, ""ap"": 0.8098308697089719, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8341431532236565, ""ap"": 0.7960918021533723, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7423673469387755, ""ap"": 0.7147615691321598, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9448301193755739, ""ap"": 0.9250767073558249, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8539428571428571, ""ap"": 0.8277522364253376, ""neg_fail"": 0.0, ""n_test"": 175}}"
