node,type,degree
343,Exercise,11
344,Exercise,10
345,Exercise,8
346,Exercise,11
347,Exercise,10
348,Exercise,9
349,Exercise,9
350,Exercise,12
351,Exercise,11
352,Exercise,10
353,Exercise,10
354,Exercise,8
355,Exercise,8
356,Exercise,12
357,Exercise,10
358,Exercise,10
359,Exercise,8
360,Exercise,8
361,Exercise,9
362,Exercise,16
363,Exercise,16
364,Exercise,17
365,Exercise,17
366,Exercise,10
367,Exercise,8
368,Exercise,8
369,Exercise,14
370,Exercise,10
371,Exercise,8
372,Exercise,9
373,Exercise,9
374,Exercise,8
375,Exercise,9
376,Exercise,10
377,Exercise,8
378,Exercise,11
379,Exercise,10
380,Exercise,10
381,Exercise,7
382,Exercise,8
383,Exercise,7
384,Exercise,10
385,Exercise,10
386,Exercise,11
387,Exercise,9
388,Exercise,10
389,Exercise,9
390,Exercise,10
391,Exercise,9
392,Exercise,10
393,Exercise,9
394,Exercise,8
395,Exercise,11
396,Exercise,10
397,Exercise,9
398,Exercise,11
399,Exercise,11
400,Exercise,12
401,Exercise,8
402,Exercise,8
403,Exercise,7
404,Exercise,9
405,Exercise,10
406,Exercise,14
407,Exercise,8
408,Exercise,9
409,Exercise,9
410,Exercise,9
411,Exercise,11
412,Exercise,10
413,Exercise,8
414,Exercise,8
415,Exercise,13
416,Exercise,12
417,Exercise,10
418,Exercise,8
419,Exercise,18
420,Exercise,9
421,Exercise,13
422,Exercise,9
423,Exercise,13
424,Exercise,10
425,Exercise,11
426,Exercise,9
427,Exercise,13
428,Exercise,10
429,Exercise,9
430,Exercise,13
431,Exercise,10
432,Exercise,12
433,Exercise,13
434,Exercise,12
435,Exercise,15
436,Exercise,9
437,Exercise,10
438,Exercise,8
439,Exercise,12
440,Exercise,7
441,Exercise,8
442,Exercise,8
443,Exercise,8
444,Exercise,10
445,Exercise,8
446,Exercise,11
447,Exercise,10
448,Exercise,10
449,Exercise,11
450,Exercise,14
451,Exercise,12
452,Exercise,12
453,Exercise,12
454,Exercise,9
455,Exercise,8
456,Exercise,10
457,Exercise,8
458,Exercise,8
459,Exercise,9
460,Exercise,12
461,Exercise,8
462,Exercise,10
463,Exercise,10
464,Exercise,10
465,Exercise,9
466,Exercise,10
467,Exercise,10
468,Exercise,9
469,Exercise,9
470,Exercise,9
471,Exercise,9
472,Exercise,10
473,Exercise,17
474,Exercise,11
475,Exercise,8
476,Exercise,9
477,Exercise,8
478,Exercise,11
479,Exercise,7
480,Exercise,7
481,Exercise,11
482,Exercise,11
483,Exercise,7
484,Exercise,9
485,Exercise,11
486,Exercise,8
487,Exercise,8
488,Exercise,8
489,Exercise,7
490,Exercise,11
491,Exercise,8
492,Exercise,8
493,Exercise,9
494,Exercise,9
495,Exercise,8
496,Exercise,8
497,Exercise,12
498,Exercise,9
499,Exercise,6
500,Exercise,8
501,Exercise,8
502,Exercise,10
503,Exercise,9
504,Exercise,19
505,Exercise,10
506,Exercise,9
507,Exercise,9
508,Exercise,16
509,Exercise,9
510,Exercise,8
511,Exercise,10
512,Exercise,8
513,Exercise,11
514,Exercise,10
515,Exercise,8
516,Exercise,10
517,Exercise,8
518,Exercise,13
519,Exercise,15
520,Exercise,11
521,Exercise,11
522,Exercise,12
523,Exercise,11
524,Exercise,7
525,Exercise,10
526,Exercise,9
527,Exercise,9
528,Exercise,11
529,Exercise,8
530,Exercise,8
531,Exercise,12
532,Exercise,8
533,Exercise,8
534,Exercise,9
535,Exercise,13
536,Exercise,9
537,Exercise,9
538,Exercise,11
539,Exercise,9
540,Exercise,9
541,Exercise,12
542,Exercise,11
543,Exercise,14
544,Exercise,12
545,Exercise,10
546,Exercise,12
547,Exercise,10
548,Exercise,10
549,Exercise,14
550,Exercise,12
551,Exercise,14
552,Exercise,8
553,Exercise,9
554,Exercise,8
555,Exercise,11
556,Exercise,11
557,Exercise,9
558,Exercise,11
559,Exercise,10
560,Exercise,8
561,Exercise,8
562,Exercise,10
563,Exercise,8
564,Exercise,10
565,Exercise,11
566,Exercise,13
567,Exercise,11
568,Exercise,8
569,Exercise,8
570,Exercise,7
571,Exercise,15
572,Exercise,13
573,Exercise,8
574,Exercise,11
575,Exercise,11
576,Exercise,8
577,Exercise,8
578,Exercise,8
579,Exercise,8
580,Exercise,10
581,Exercise,8
582,Exercise,7
583,Exercise,7
584,Exercise,9
585,Exercise,12
586,Exercise,8
587,Exercise,8
588,Exercise,8
589,Exercise,8
590,Exercise,9
591,Exercise,12
592,Exercise,10
593,Exercise,9
594,Exercise,7
595,Exercise,17
596,Exercise,9
597,Exercise,14
598,Exercise,8
599,Exercise,15
600,Exercise,16
601,Exercise,15
602,Exercise,10
603,Exercise,9
604,Exercise,11
605,Exercise,8
606,Exercise,13
607,Exercise,10
608,Exercise,10
609,Exercise,11
610,Exercise,10
611,Exercise,10
612,Exercise,10
613,Exercise,12
614,Exercise,12
615,Exercise,11
616,Exercise,10
617,Exercise,10
618,Exercise,8
619,Exercise,7
620,Exercise,8
621,Exercise,9
622,Exercise,10
623,Exercise,12
624,Exercise,11
625,Exercise,7
626,Exercise,9
627,Exercise,9
628,Exercise,12
629,Exercise,15
630,Exercise,14
631,Exercise,12
632,Exercise,16
633,Exercise,10
634,Exercise,10
635,Exercise,10
636,Exercise,10
637,Exercise,9
638,Exercise,8
639,Exercise,11
640,Exercise,8
641,Exercise,9
642,Exercise,9
643,Exercise,9
644,Exercise,10
645,Exercise,8
646,Exercise,14
647,Exercise,13
648,Exercise,10
649,Exercise,9
650,Exercise,8
651,Exercise,11
652,Exercise,11
653,Exercise,12
654,Exercise,12
655,Exercise,9
656,Exercise,8
657,Exercise,8
658,Exercise,9
659,Exercise,12
660,Exercise,8
661,Exercise,9
662,Exercise,9
663,Exercise,18
664,Exercise,10
665,Exercise,8
666,Exercise,9
667,Exercise,8
668,Exercise,10
669,Exercise,8
670,Exercise,9
671,Exercise,8
672,Exercise,9
673,Exercise,10
674,Exercise,11
675,Exercise,10
676,Exercise,12
677,Exercise,9
678,Exercise,8
679,Exercise,9
680,Exercise,9
681,Exercise,9
682,Exercise,9
683,Exercise,13
684,Exercise,9
685,Exercise,8
686,Exercise,8
687,Exercise,9
688,Exercise,8
689,Exercise,9
690,Exercise,9
691,Exercise,8
692,Exercise,9
693,Exercise,8
694,Exercise,9
695,Exercise,9
696,Exercise,11
697,Exercise,9
698,Exercise,8
699,Exercise,8
700,Exercise,9
701,Exercise,9
702,Exercise,8
703,Exercise,10
704,Exercise,10
705,Exercise,8
706,Exercise,10
707,Exercise,10
708,Exercise,7
709,Exercise,7
710,Exercise,8
711,Exercise,11
712,Exercise,8
713,Exercise,9
714,Exercise,9
715,Exercise,7
716,Exercise,9
717,Exercise,8
718,Exercise,10
719,Exercise,12
720,Exercise,10
721,Exercise,11
722,Exercise,9
723,Exercise,10
724,Exercise,11
725,Exercise,9
726,Exercise,10
727,Exercise,11
728,Exercise,11
729,Exercise,8
730,Exercise,11
731,Exercise,9
732,Exercise,9
733,Exercise,9
734,Exercise,9
735,Exercise,8
736,Exercise,10
737,Exercise,11
738,Exercise,11
739,Exercise,11
740,Exercise,8
741,Exercise,13
742,Exercise,8
743,Exercise,14
744,Exercise,12
745,Exercise,9
746,Exercise,9
747,Exercise,11
748,Exercise,11
749,Exercise,9
750,Exercise,10
751,Exercise,9
752,Exercise,13
753,Exercise,8
754,Exercise,11
755,Exercise,12
756,Exercise,10
757,Exercise,9
758,Exercise,12
759,Exercise,9
760,Exercise,13
761,Exercise,10
762,Exercise,12
763,Exercise,11
764,Exercise,15
765,Exercise,13
766,Exercise,13
767,Exercise,13
768,Exercise,10
769,Exercise,16
770,Exercise,8
771,Exercise,10
772,Exercise,12
773,Exercise,10
774,Exercise,11
775,Exercise,8
776,Exercise,12
777,Exercise,15
778,Exercise,12
779,Exercise,10
780,Exercise,16
781,Exercise,10
782,Exercise,10
783,Exercise,13
784,Exercise,12
785,Exercise,12
786,Exercise,13
787,Exercise,12
788,Exercise,9
789,Exercise,10
790,Exercise,9
791,Exercise,9
792,Exercise,10
793,Exercise,9
794,Exercise,8
795,Exercise,10
796,Exercise,9
797,Exercise,11
798,Exercise,9
799,Exercise,9
800,Exercise,10
801,Exercise,9
802,Exercise,9
803,Exercise,10
804,Exercise,10
805,Exercise,8
806,Exercise,9
807,Exercise,11
808,Exercise,7
809,Exercise,8
810,Exercise,8
811,Exercise,8
812,Exercise,9
813,Exercise,8
814,Exercise,8
815,Exercise,7
816,Exercise,9
817,Exercise,10
818,Exercise,9
819,Exercise,10
820,Exercise,10
821,Exercise,9
822,Exercise,9
823,Exercise,8
824,Exercise,11
825,Exercise,9
826,Exercise,9
827,Exercise,9
828,Exercise,8
829,Exercise,9
830,Exercise,9
831,Exercise,8
832,Exercise,8
833,Exercise,8
834,Exercise,9
835,Exercise,11
836,Exercise,10
837,Exercise,9
838,Exercise,10
839,Exercise,10
840,Exercise,10
841,Exercise,8
842,Exercise,11
843,Exercise,8
844,Exercise,10
845,Exercise,9
846,Exercise,11
847,Exercise,15
848,Exercise,14
849,Exercise,15
850,Exercise,10
851,Exercise,9
852,Exercise,10
853,Exercise,10
854,Exercise,11
855,Exercise,10
856,Exercise,8
857,Exercise,10
858,Exercise,13
859,Exercise,11
860,Exercise,10
861,Exercise,10
862,Exercise,9
863,Exercise,9
864,Exercise,10
865,Exercise,17
866,Exercise,8
867,Exercise,7
868,Exercise,9
869,Exercise,10
870,Exercise,8
871,Exercise,8
872,Exercise,8
873,Exercise,10
874,Exercise,9
875,Exercise,9
876,Exercise,9
877,Exercise,8
878,Exercise,8
879,Exercise,13
880,Exercise,11
881,Exercise,9
