type,count,mean,std,min,median,max
Equipment,12,72.75,64.41361375022858,9,60.0,188
Exercise,873,9.995418098510882,2.068212251651913,6,10.0,19
ExerciseGoal,7,235.28571428571428,273.86414776047525,14,123.0,675
ExerciseType,5,174.6,230.7689320510887,14,94.0,581
ForceType,3,281.3333333333333,153.57842730453171,104,369.0,371
IntensityLevel,3,291.0,233.00643767930532,57,293.0,523
MechanicType,2,393.0,135.7645019878171,297,393.0,489
MuscleGroup,17,151.41176470588235,88.06677780492016,9,131.0,335
