relation,edges,domain,range,density,mean_out_degree,mean_in_degree,max_in_degree
recruits,1701,598,17,0.16732244737359828,2.8444817066192627,100.05882263183594,220
supportsGoal,1647,873,7,0.2695139911634757,1.886597990989685,235.2857208251953,675
hasIntensity,873,873,3,0.3333333333333333,1.0,291.0,523
hasType,873,873,5,0.2,1.0,174.60000610351562,581
requires,873,873,12,0.08333333333333333,1.0,72.75,188
targets,873,873,17,0.058823529411764705,1.0,51.35293960571289,148
hasForce,844,844,3,0.3333333333333333,1.0,281.3333435058594,371
hasMechanic,786,786,2,0.5,1.0,393.0,489
isVariationOf,128,126,66,0.015392015392015393,1.0158730745315552,1.9393939971923828,9
