model,label,lam,seed,params,val_auc,auc,ap,delta_muscle,retrieval_muscle,delta_type,retrieval_type,silhouette_type,per_relation
gcn,"GCN (topology, no relation types)",0.0,1,36800,0.5106228373702423,0.527322623715522,0.5242038041960122,0.08168661594390869,0.3101769911504425,0.08908769488334656,0.24601769911504426,-0.08292121440172195,"{""targets"": {""auc"": 0.5395762471655329, ""ap"": 0.5467358011651411, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5288065843621399, ""ap"": 0.5335608430382985, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.5052529887694723, ""ap"": 0.5068180333424046, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5162419997584833, ""ap"": 0.5165755057790044, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5976331360946746, ""ap"": 0.5837503234295818, ""neg_fail"": 0.04395604506134987, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.5230555555555555, ""ap"": 0.5140323047600984, ""neg_fail"": 0.8666666746139526, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.7218934911242603, ""ap"": 0.7530634147149984, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn,"GCN (topology, no relation types)",0.3,0,36800,0.5059602076124567,0.5207079840454301,0.514903740547981,0.08711209893226624,0.3730088495575221,0.06332671642303467,0.21106194690265487,-0.07017335295677185,"{""targets"": {""auc"": 0.49461451247165533, ""ap"": 0.4977181553918379, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5610425240054869, ""ap"": 0.5357108275769258, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.5042869218693394, ""ap"": 0.5501395590632698, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5371331964738559, ""ap"": 0.5298809891880831, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5049510928631807, ""ap"": 0.5138770942238893, ""neg_fail"": 0.05494505539536476, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.5666820987654321, ""ap"": 0.5424286818715394, ""neg_fail"": 0.8999999761581421, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.5207100591715976, ""ap"": 0.5714743763150734, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn,"GCN (topology, no relation types)",0.3,1,36800,0.5154844290657439,0.5247980327203894,0.5271975730939927,0.09934267401695251,0.363716814159292,0.07372093200683594,0.22079646017699114,-0.0670609325170517,"{""targets"": {""auc"": 0.5301516439909297, ""ap"": 0.5441264026426343, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.49314128943758573, ""ap"": 0.5376692695660958, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.501388721168941, ""ap"": 0.5175401788114935, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5104455983576863, ""ap"": 0.5111792452625682, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5914744596063277, ""ap"": 0.580175720082438, ""neg_fail"": 0.04395604506134987, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.524104938271605, ""ap"": 0.5124754960522516, ""neg_fail"": 0.8666666746139526, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.7810650887573964, ""ap"": 0.7840838899662428, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn_distmult,GCN + relation-aware decoder,0.0,0,37248,0.5024264705882353,0.5003380205516496,0.499510064177873,0.06214570999145508,0.381858407079646,0.04775822162628174,0.2570796460176991,-0.0756802037358284,"{""targets"": {""auc"": 0.5147746598639455, ""ap"": 0.5476133609230083, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.502400548696845, ""ap"": 0.5023645945110433, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.4835164835164835, ""ap"": 0.5014784788957349, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.48520710059171596, ""ap"": 0.48195617181320327, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5133437990580848, ""ap"": 0.5466957496752075, ""neg_fail"": 0.021978022530674934, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.49145061728395056, ""ap"": 0.49616903201399, ""neg_fail"": 0.8722222447395325, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.47928994082840237, ""ap"": 0.5527200964471743, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn_distmult,GCN + relation-aware decoder,0.0,1,37248,0.4910856401384083,0.5012147613574905,0.4994738017356287,0.06133091449737549,0.3349557522123894,0.05594867467880249,0.24646017699115044,-0.08535440266132355,"{""targets"": {""auc"": 0.46726190476190477, ""ap"": 0.5143134419144232, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.4886831275720165, ""ap"": 0.5356204515196076, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.5108078734452361, ""ap"": 0.5043966077353401, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.525178118584712, ""ap"": 0.5405575989703496, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5387030551865717, ""ap"": 0.5539561136623699, ""neg_fail"": 0.010989011265337467, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.46932098765432095, ""ap"": 0.47323790837459245, ""neg_fail"": 0.8777777552604675, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.5502958579881657, ""ap"": 0.5994082963072733, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn_distmult,GCN + relation-aware decoder,0.3,0,37248,0.5144506920415225,0.4935142306652245,0.5001987785546275,0.14765308797359467,0.47345132743362833,0.06333424150943756,0.18053097345132743,-0.056379739195108414,"{""targets"": {""auc"": 0.4937641723356009, ""ap"": 0.5118391485903839, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5085733882030178, ""ap"": 0.508718524248768, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.4777200821156865, ""ap"": 0.5225520924545343, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.500784929356358, ""ap"": 0.5031790144250804, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.49100350199251297, ""ap"": 0.5074769375852526, ""neg_fail"": 0.021978022530674934, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.5061728395061729, ""ap"": 0.5046080202704035, ""neg_fail"": 0.8722222447395325, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.2485207100591716, ""ap"": 0.4391266596300662, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn_distmult,GCN + relation-aware decoder,0.3,1,37248,0.4831574394463668,0.49513250405624654,0.5011987129739537,0.14182767271995544,0.41150442477876104,0.05052997171878815,0.1986725663716814,-0.05166034772992134,"{""targets"": {""auc"": 0.4634708049886621, ""ap"": 0.5194450744821419, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.45679012345679015, ""ap"": 0.48810651946999195, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.5542808839512136, ""ap"": 0.5153478019040469, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5140683492331845, ""ap"": 0.5128527091679075, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5516241999758483, ""ap"": 0.5657782842557627, ""neg_fail"": 0.010989011265337467, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.449320987654321, ""ap"": 0.4610775246165107, ""neg_fail"": 0.8777777552604675, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.6627218934911242, ""ap"": 0.6515949556378438, ""neg_fail"": 0.0, ""n_test"": 13}}"
rgcn,R-GCN (relation-aware propagation),0.0,0,550656,0.5203676470588234,0.4988369980394808,0.5047932293960284,0.033800989389419556,0.2973451327433628,0.05061507225036621,0.2743362831858407,-0.017214428633451462,"{""targets"": {""auc"": 0.5270337301587302, ""ap"": 0.5021649077769523, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5027434842249657, ""ap"": 0.5295852625144082, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.4679386547518415, ""ap"": 0.4726585072457121, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5074266392947712, ""ap"": 0.5548339479523123, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5404540514430624, ""ap"": 0.5707055375302762, ""neg_fail"": 0.06593406945466995, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.46771604938271605, ""ap"": 0.48861045023020006, ""neg_fail"": 0.8277778029441833, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.4378698224852071, ""ap"": 0.5186073541842772, ""neg_fail"": 0.0, ""n_test"": 13}}"
rgcn,R-GCN (relation-aware propagation),0.0,1,550656,0.5100865051903114,0.4963356459572742,0.5014587893511587,0.034070104360580444,0.26371681415929205,0.04103764891624451,0.26548672566371684,-0.020378615707159042,"{""targets"": {""auc"": 0.48511904761904767, ""ap"": 0.4988380892746971, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5257201646090535, ""ap"": 0.557917981537757, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.48605240912933223, ""ap"": 0.5245192357776927, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.4819466248037677, ""ap"": 0.49034796259335056, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5611037314334019, ""ap"": 0.5410254418368757, ""neg_fail"": 0.04395604506134987, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.48250000000000004, ""ap"": 0.4817307841822175, ""neg_fail"": 0.8777777552604675, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.5798816568047337, ""ap"": 0.6477075702075703, ""neg_fail"": 0.0, ""n_test"": 13}}"
rgcn,R-GCN (relation-aware propagation),0.3,0,550656,0.5230925605536332,0.5002461212141698,0.508863711234437,0.047497332096099854,0.3256637168141593,0.0515613853931427,0.26946902654867255,-0.019982151687145233,"{""targets"": {""auc"": 0.5323837868480726, ""ap"": 0.5070447709021476, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5044581618655692, ""ap"": 0.5339535817634298, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.473614297790122, ""ap"": 0.47796434413492883, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5001811375437749, ""ap"": 0.5486378057320387, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5380388841927304, ""ap"": 0.5805217955184845, ""neg_fail"": 0.06593406945466995, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.4776234567901235, ""ap"": 0.49867708058849036, ""neg_fail"": 0.8277778029441833, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.4319526627218935, ""ap"": 0.5168079839638544, ""neg_fail"": 0.0, ""n_test"": 13}}"
rgcn,R-GCN (relation-aware propagation),0.3,1,550656,0.5145588235294117,0.4976264619388859,0.5037172717070257,0.05926245450973511,0.32123893805309733,0.04248380661010742,0.25663716814159293,-0.024648252874612808,"{""targets"": {""auc"": 0.482249149659864, ""ap"": 0.4973970322960318, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5469821673525377, ""ap"": 0.5831440957317401, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.4887090931046975, ""ap"": 0.5373118062667898, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.48387875860403334, ""ap"": 0.479307339861197, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.551322304069557, ""ap"": 0.5333642596684154, ""neg_fail"": 0.04395604506134987, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.4837654320987655, ""ap"": 0.48650572083601096, ""neg_fail"": 0.8777777552604675, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.5384615384615384, ""ap"": 0.665173562966205, ""neg_fail"": 0.0, ""n_test"": 13}}"
