model,label,lam,seed,params,val_auc,auc,ap,delta_muscle,retrieval_muscle,delta_type,retrieval_type,silhouette_type,per_relation
jaccard,Jaccard on target-muscle sets (no learning),,0,0,,,,,1.0,,0.5427262313860252,,{}
mf,Free embeddings (matrix factorization),0.0,0,59008,0.8945758010443325,0.8773410628019324,0.8541544710271088,0.27198129892349243,0.4329896907216495,0.6322498917579651,0.9777777777777777,0.35144490003585815,"{""hasForce"": {""auc"": 0.9368858131487888, ""ap"": 0.9361166897807182, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.7604244897959184, ""ap"": 0.6861686123312373, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.8927655824387117, ""ap"": 0.8885940033316717, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9744979591836734, ""ap"": 0.9707899404497151, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8032544378698224, ""ap"": 0.8014231721164093, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8346333450864716, ""ap"": 0.805292832976988, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7531755102040818, ""ap"": 0.7386490252885548, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9725987144168963, ""ap"": 0.9625479888122092, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7979755102040818, ""ap"": 0.7465224790989622, ""neg_fail"": 0.0, ""n_test"": 175}}"
distmult,"DistMult (relation types, no propagation)",0.0,0,59584,0.8955884830010703,0.8824300777147658,0.8556445388400202,0.24654684960842133,0.5053837342497136,0.6134495735168457,0.9743413516609393,0.3341917097568512,"{""hasForce"": {""auc"": 0.913114186851211, ""ap"": 0.8758566140528231, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.809730612244898, ""ap"": 0.7397105615099524, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9557362602147093, ""ap"": 0.9556224403876844, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9545795918367347, ""ap"": 0.9438425426133681, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8269230769230769, ""ap"": 0.8335984264423331, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8333003672139041, ""ap"": 0.8276185819766919, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7783836734693879, ""ap"": 0.7725449972646136, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.94455463728191, ""ap"": 0.913214913371281, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8074448979591837, ""ap"": 0.7979833536130982, ""neg_fail"": 0.0, ""n_test"": 175}}"
gcn,"GCN (topology, no relation types)",0.0,0,67328,0.864441890665667,0.8361945809703843,0.8104239718949386,0.32147687673568726,0.36861397479954183,0.8166508674621582,0.9470790378006873,0.39133909344673157,"{""hasForce"": {""auc"": 0.855916955017301, ""ap"": 0.8629698004503539, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.7071020408163264, ""ap"": 0.6555056794420238, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.7726726486140041, ""ap"": 0.782898776675295, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9542857142857144, ""ap"": 0.9462886599359928, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8816568047337278, ""ap"": 0.82973924770855, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.7966047763607125, ""ap"": 0.775679136174458, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7245714285714286, ""ap"": 0.6937525967001006, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9631404958677686, ""ap"": 0.9442983147597356, ""neg_fail"": 0.0030303029343485832, ""n_test"": 330}, ""targets"": {""auc"": 0.7484408163265306, ""ap"": 0.6950352866862544, ""neg_fail"": 0.0, ""n_test"": 175}}"
gcn_distmult,GCN + relation-aware decoder,0.0,0,67904,0.852081873060894,0.8325034236504936,0.812757916004005,0.34869682788848877,0.395418098510882,0.936606764793396,0.9466208476517755,0.4142308533191681,"{""hasForce"": {""auc"": 0.8717993079584776, ""ap"": 0.8742189293643445, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.6552489795918368, ""ap"": 0.6130141299682389, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.894287774395129, ""ap"": 0.8976219048988046, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9434775510204083, ""ap"": 0.9272529717210299, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.7026627218934911, ""ap"": 0.7224490490596881, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.7913416637283821, ""ap"": 0.7477151324458995, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.6395428571428572, ""ap"": 0.6183303029576768, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9531864095500459, ""ap"": 0.9350124348997224, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7465795918367346, ""ap"": 0.6723246874931132, ""neg_fail"": 0.0, ""n_test"": 175}}"
rgcn,R-GCN (relation-aware propagation),0.0,0,215360,0.8650993528615906,0.8412518378491913,0.8192341053919777,0.2762155830860138,0.4533791523482245,0.9588534235954285,0.9532646048109966,0.4539373219013214,"{""hasForce"": {""auc"": 0.8472664359861592, ""ap"": 0.8454688192297211, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.7554612244897959, ""ap"": 0.735511254590841, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.8348421727287293, ""ap"": 0.8297362269241401, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9403102040816327, ""ap"": 0.9094359304291405, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.7603550295857988, ""ap"": 0.7272871953945692, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.7949278041984503, ""ap"": 0.7852545926977875, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.6902857142857142, ""ap"": 0.6346891561388711, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.940477502295684, ""ap"": 0.9049976967496878, ""neg_fail"": 0.0030303029343485832, ""n_test"": 330}, ""targets"": {""auc"": 0.7459265306122449, ""ap"": 0.6934649069159797, ""neg_fail"": 0.0, ""n_test"": 175}}"
